name	interval	overlap_interval_end_reads	span_interval_end_pairs	within_interval	coverage_perc	coverage_mean	coverage_median
19c32b6be6bb3bdfad446025eb0b0dfa	0_200	6	10	37	1	19.685	21
19c32b6be6bb3bdfad446025eb0b0dfa	200_400	0	0	36	0.995	18	18
dfbe61f92035acc1209754b7ec4f4d23	0_200	6	9	36	1	19.185	20
dfbe61f92035acc1209754b7ec4f4d23	200_400	0	0	27	0.845	13.5	13
5846baef085e1cb83c833197fde3dff8	0_200	0	8	62	1	31	31
5846baef085e1cb83c833197fde3dff8	200_6115	1	8	12	0.17785291631445477	0.2106508875739645	0
5846baef085e1cb83c833197fde3dff8	6115_6315	0	0	40	0.815	20	20
e0ab8366d4f7014c521be2985f1eb797	0_200	0	9	63	1	31.5	31.5
e0ab8366d4f7014c521be2985f1eb797	200_6115	1	9	12	0.17785291631445477	0.2106508875739645	0
e0ab8366d4f7014c521be2985f1eb797	6115_6315	0	0	39	0.845	19.5	19.5
2afcef7ae7614bb63936de420e3cf3b9	0_200	0	0	24	0.915	12	12
2afcef7ae7614bb63936de420e3cf3b9	200_400	0	0	0	0	0	0
0c8b15058f2acf76fa678da59ef7c6fe	0_200	0	0	0	0	0	0
0c8b15058f2acf76fa678da59ef7c6fe	200_400	0	0	0	0	0	0
5ff14549cf7024f01ee69e8c5603245e	0_200	0	0	0	0	0	0
5ff14549cf7024f01ee69e8c5603245e	200_400	0	0	0	0	0	0
a3d44f245844b5ac709bbf86abae273e	0_200	0	0	0	0	0	0
a3d44f245844b5ac709bbf86abae273e	200_400	0	0	0	0	0	0
d8a37da2347a8e24395b7cede354aa95	0_138	0	0	0	0	0	0
d8a37da2347a8e24395b7cede354aa95	138_338	0	0	0	0	0	0
fcc744d7184c3bdae26c522634b7098e	0_200	1	7	43	0.99	21.68	21.5
fcc744d7184c3bdae26c522634b7098e	200_587	0	7	3	0.5116279069767442	0.7751937984496124	1
fcc744d7184c3bdae26c522634b7098e	587_787	0	0	33	0.9	16.5	16.5
69b18db381ff451130af3236f2c600e7	0_200	0	2	2	0.97	1	1
69b18db381ff451130af3236f2c600e7	200_400	0	0	4	0.82	2	2
8b57f24ac67bc4026bbc96e295fc8a65	0_200	0	1	1	0.5	0.5	0.5
8b57f24ac67bc4026bbc96e295fc8a65	200_400	0	0	3	0.82	1.5	1.5
496d8d6ead7f0fd63f41edb369409283	0_200	0	0	0	0	0	0
496d8d6ead7f0fd63f41edb369409283	200_380	0	0	0	0	0	0
13490cdd721e01c133408fb05eff1f49	0_200	0	3	10	0.97	5	5
13490cdd721e01c133408fb05eff1f49	200_19175	1	3	74	0.22693017127799736	0.392832674571805	0
13490cdd721e01c133408fb05eff1f49	19175_19375	0	0	16	0.98	8	8
f3d2aef3e3fdd69783695597c9c7c689	0_200	0	1	5	0.97	2.5	2.5
f3d2aef3e3fdd69783695597c9c7c689	200_400	0	0	9	0.88	4.5	4.5
1a2f7c4f71890d447d1c10db4301aec6	0_200	0	1	5	0.97	2.5	2.5
1a2f7c4f71890d447d1c10db4301aec6	200_368	0	0	1	0.5952380952380952	0.5952380952380952	1
3f5a72af0853d8b59e697217be86f1de	0_200	2	6	14	0.955	7.59	8
3f5a72af0853d8b59e697217be86f1de	200_121724	0	5	1010	0.2132747440834732	0.8311115499818966	0
3f5a72af0853d8b59e697217be86f1de	121724_121924	0	0	20	0.925	10	10
48ba45ad78650a6d3b699d0272766b38	0_200	2	3	11	0.955	6.09	6.5
48ba45ad78650a6d3b699d0272766b38	200_121724	0	2	1010	0.2132747440834732	0.8311115499818966	0
48ba45ad78650a6d3b699d0272766b38	121724_121892	0	0	4	0.8690476190476191	2.380952380952381	3
834110bae711a18586e9745ce37e6d33	0_200	3	10	23	0.96	12.41	12.5
834110bae711a18586e9745ce37e6d33	200_400	0	0	51	1	25.5	25.5
30ff58139be454c8ca52c4a28bf8a000	0_200	0	22	75	0.99	37.5	37.5
30ff58139be454c8ca52c4a28bf8a000	200_546	1	22	1	0.5433526011560693	0.5433526011560693	1
30ff58139be454c8ca52c4a28bf8a000	546_746	0	0	65	0.995	32.5	32.5
f7ae934315938fe4c3b41bc44b74304c	0_200	0	9	23	0.995	11.5	11.5
f7ae934315938fe4c3b41bc44b74304c	200_400	0	0	40	0.975	20	20
38f2297e2084b48c6944966674748055	0_200	0	4	22	0.98	11	11
38f2297e2084b48c6944966674748055	200_400	0	0	8	0.715	4	4
7d57cc792100728dd7c9d6cb03f0bae2	0_200	0	5	23	0.98	11.5	11.5
